RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,SIZE_numeric,FOCUS_numeric,RES_numeric,STATUS_numeric,Region_Africa,Region_Americas,Region_Asia,Region_Europe,Region_Oceania
396.0,436.0,Sejong University ,South Korea,Asia,L,CO,VH,B,10.8,601.0,16.1,528.0,11.9,701.0,76.9,127.0,23.8,551.0,31.2,418.0,64.1,570.0,1.8,701.0,45.9,,3,0.0,4,,False,False,True,False,False
396.0,421.0,Université de Liège,Belgium,Europe,L,FC,VH,A,17.0,531.0,11.8,601.0,9.6,701.0,38.0,365.0,50.3,364.0,53.0,277.0,94.6,86.0,23.6,478.0,81.2,,3,,4,,False,False,False,True,False
396.0,410.0,University of Southern Queensland ,Australia,Oceania,M,CO,VH,A,8.8,601.0,5.7,601.0,4.8,701.0,73.1,143.0,84.1,223.0,23.0,503.0,81.0,310.0,8.6,701.0,43.0,353.0,2,0.0,4,,False,False,False,False,True
401.0,396.0,Kazan (Volga region) Federal University,Russia,Europe,L,FC,VH,A,23.6,373.0,11.4,601.0,95.6,58.0,2.4,701.0,10.2,701.0,95.7,93.0,88.3,191.0,15.4,647.0,22.2,,3,,4,,False,False,False,True,False
401.0,431.0,Koç University,Turkey,Asia,M,FC,VH,B,24.3,359.0,54.6,155.0,19.1,697.0,32.4,407.0,24.7,540.0,13.0,659.0,51.6,701.0,6.8,701.0,34.8,,2,,4,,False,False,True,False,False
403.0,375.0,Amirkabir University of Technology,"Iran, Islamic Republic of",Asia,M,FO,VH,A,5.2,601.0,20.5,445.0,4.6,701.0,100.0,7.0,24.6,543.0,2.8,701.0,70.2,483.0,5.8,701.0,1.6,701.0,2,1.0,4,,False,False,True,False,False
403.0,421.0,University of Canberra ,Australia,Oceania,M,CO,VH,A,14.3,601.0,7.7,601.0,2.4,701.0,51.2,255.0,79.6,243.0,69.4,213.0,63.1,583.0,5.6,701.0,70.9,,2,0.0,4,,False,False,False,False,True
405.0,392.0,Institut National des Sciences Appliquées de Lyon (INSA),France,Europe,M,FO,VH,A,7.4,601.0,28.7,334.0,33.7,469.0,60.6,201.0,29.2,500.0,58.3,254.0,59.5,638.0,14.4,680.0,2.4,701.0,2,1.0,4,,False,False,False,True,False
405.0,481.0,Satbayev University,Kazakhstan,Asia,M,FO,VH,A,27.8,318.0,43.4,211.0,88.1,94.0,1.2,701.0,66.7,296.0,16.9,588.0,15.0,701.0,23.6,477.0,3.8,701.0,2,1.0,4,,False,False,True,False,False
405.0,328.0,USI - Università della Svizzera italiana,Switzerland,Europe,S,FO,VH,A,6.1,601.0,4.6,601.0,73.5,176.0,40.7,343.0,100.0,34.0,100.0,13.0,39.3,701.0,2.1,701.0,1.1,701.0,1,1.0,4,,False,False,False,True,False
